"00031"|"00005"|"002"|"SDA"|"Southern delta Aquariids                "|" annual "|" 1"|"126.7  "|"339.6  "|"-16.1  "|"0.75   "|"0.21   "|"41.01  "|"2.80   "|"0.079  "|"       "|"150.6  "|"306.7  "|"25.5   "|"00028"|"00297"|"03"|"Marsden group                           "|"Member of 297/DAQ Complex                                                                                                                             "|"P   "|"3) <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak and Porubcan, 1970</A>"|"LT"|"SD"
"00032"|"00005"|"003"|"SDA"|"Southern delta Aquariids                "|" annual "|" 1"|"125.6  "|"305.7  "|"-16.1  "|"0.80   "|"0.18   "|"41.4   "|"2.875  "|"0.069  "|"       "|"152.8  "|"152.8  "|"27.2   "|"00013"|"00297"|"03"|"Marsden group                           "|"Member of 297/DAQ Complex                                                                                                                             "|"    "|"4) <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"|"LT"|"SD"
"00033"|"00005"|"004"|"SDA"|"Southern delta Aquariids                "|" annual "|" 1"|"126.5  "|"340.1  "|"-17.0  "|"0.9    "|"0.2    "|"40.8   "|"2.33   "|"0.07   "|"       "|"152.4  "|"306.5  "|"32.5   "|"00048"|"00297"|"03"|"Marsden group                           "|"Member of 297/DAQ Complex                                                                                                                             "|"R   "|"5) <A href='http://adsabs.harvard.edu/abs/1964AuJPh..17..205N' target=_blank>Nilson, 1964</A>"|"LT"|"SD"
"00034"|"00005"|"005"|"SDA"|"Southern delta Aquariids                "|" annual "|" 1"|"128.2  "|"341.0  "|"-15.8  "|"       "|"       "|"40.8   "|"       "|"0.078  "|"0.972  "|"151.1  "|"308.2  "|"26.9   "|"00011"|"00297"|"03"|"Marsden group                           "|"Member of 297/DAQ Complex                                                                                                                             "|"P   "|"6) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>"|"LT"|"SD"
"00035"|"00005"|"006"|"SDA"|"Southern delta Aquariids                "|"2002/06 "|" 1"|"126.5  "|"341.0  "|"-16.1  "|"0.78   "|"0.25   "|"41.1   "|"2.38   "|"0.065  "|"0.9726 "|"153.9  "|"306.2  "|"30.9   "|"04722"|"00297"|"03"|"Marsden group                           "|"Member of 297/DAQ Complex                                                                                                                             "|"R   "|"7) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"|"LT"|"SD"
"00036"|"00005"|"007"|"SDA"|"Southern delta Aquariids                "|"2007/08 "|" 1"|"129.7  "|"341.9  "|"-16.2  "|"0.62   "|"0.26   "|"39.4   "|"       "|"       "|"       "|"       "|"       "|"       "|"00324"|"00297"|"03"|"Marsden group                           "|"Member of 297/DAQ Complex                                                                                                                             "|"T   "|"8) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A>"|"LT"|"SD"
"00037"|"00005"|"008"|"SDA"|"Southern delta Aquariids                "|" annual "|" 1"|"128.0  "|"341.3  "|"-15.7  "|"0.95   "|"0.38   "|"41.3   "|"2.59   "|"0.069  "|"0.975  "|"152.9  "|"306.6  "|"29.0   "|"01382"|"00297"|"03"|"2008 Y12, Marsden group                 "|"Member of 297/DAQ Complex                                                                                                                             "|"T   "|"9) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>"|"LT"|"SD"
"00038"|"00005"|"009"|"SDA"|"Southern delta Aquariids                "|" annual "|"-2"|"126.8  "|"340.2  "|"-16.3  "|"       "|"       "|"40.6   "|"2.53   "|"0.077  "|"0.968  "|"151.7  "|"306.8  "|"28.0   "|"05929"|"00000"|"00"|"                                        "|"                                                                                                                                                      "|"C   "|"10) Jenniskens et al., 2018 sub. to PSS"|"LT"|"SD"
"00039"|"00006"|"000"|"LYR"|"April Lyrids                            "|" annual "|" 1"|"32.4   "|"272.0  "|"33.3   "|"       "|"       "|"46.6   "|"45.7   "|"0.921  "|"       "|"214.3  "|"31.8   "|"79.6   "|"     "|"00000"|"00"|"C/1861 G1 (Thatcher)                    "|"                                                                                                                                                      "|"P   "|"1) Dutch Meteor Society 2001"|"LT"|"SD"
"00040"|"00006"|"001"|"LYR"|"April Lyrids                            "|" annual "|" 1"|"32.4   "|"271.9  "|"33.3   "|"1.23   "|"0.17   "|"47.07  "|"56.0   "|"0.918  "|"       "|"214.5  "|"32.2   "|"79.5   "|"00007"|"00000"|"00"|"C/1861 G1 (Thatcher)                    "|"                                                                                                                                                      "|"P   "|"2) <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak and Porubcan, 1970</A>"|"LT"|"SD"
